epoch,g2,g3,g4,g5
145,0.100221,0.103007,0.090533,0.087806
146,0.100427,0.103078,0.090479,0.087855
147,0.100334,0.103318,0.090493,0.087947
148,0.100307,0.103220,0.090386,0.087933
149,0.100363,0.103317,0.090550,0.087815
150,0.100335,0.103254,0.090550,0.087789
151,0.100379,0.103323,0.090554,0.087818
152,0.100447,0.103481,0.090521,0.087754
153,0.100484,0.103623,0.090790,0.088007
154,0.100484,0.103667,0.090688,0.087924
155,0.100533,0.103639,0.090535,0.087971
156,0.100458,0.103583,0.090529,0.088068
157,0.100631,0.103568,0.090430,0.087969
158,0.100649,0.103757,0.090431,0.087942
159,0.100659,0.103654,0.090433,0.087815
160,0.100534,0.103830,0.090413,0.088029
161,0.100681,0.103880,0.090403,0.088116
162,0.100627,0.103808,0.090533,0.088082
163,0.100729,0.103768,0.090324,0.088036
164,0.100709,0.103712,0.090384,0.088150
165,0.100785,0.103611,0.090355,0.088226
166,0.100766,0.103505,0.090470,0.088078
167,0.100754,0.103406,0.090625,0.088216
168,0.100867,0.103554,0.090786,0.088234
169,0.100889,0.103609,0.090998,0.088051
170,0.100813,0.103587,0.091201,0.088207
171,0.100800,0.103576,0.091209,0.088304
172,0.100875,0.103727,0.091214,0.088360
173,0.100873,0.103553,0.091051,0.088445
174,0.100905,0.103677,0.091031,0.088610
175,0.100920,0.103672,0.091095,0.088682
176,0.100952,0.103828,0.091019,0.088759
177,0.101024,0.103978,0.091054,0.088734
178,0.101033,0.103766,0.091128,0.088911
179,0.101032,0.103777,0.091263,0.088944
180,0.101083,0.103802,0.091327,0.088881
181,0.101028,0.103868,0.091209,0.088884
182,0.101082,0.103945,0.091150,0.089075
183,0.101139,0.103914,0.091256,0.089162
184,0.101181,0.103926,0.091395,0.089188
185,0.101159,0.103924,0.091482,0.089182
186,0.101214,0.103790,0.091494,0.089252
187,0.101175,0.103876,0.091546,0.089472
188,0.101137,0.103966,0.091484,0.089555
189,0.101206,0.104008,0.091545,0.089643
190,0.101273,0.104100,0.091614,0.089660
191,0.101246,0.104083,0.091609,0.089705
192,0.101308,0.104364,0.091768,0.089706
193,0.101336,0.104213,0.091834,0.089786
194,0.101355,0.104140,0.091772,0.089825
195,0.101290,0.104304,0.091816,0.089903
196,0.101300,0.104310,0.091752,0.090020
197,0.101327,0.104495,0.091773,0.090090
198,0.101430,0.104482,0.091721,0.090044
199,0.101370,0.104470,0.091826,0.090178
200,0.101395,0.104446,0.091900,0.090278
201,0.101476,0.104576,0.091882,0.090415
202,0.101489,0.104510,0.091855,0.090455
203,0.101464,0.104479,0.091919,0.090463
204,0.101460,0.104495,0.092036,0.090564
205,0.101474,0.104417,0.092026,0.090548
206,0.101496,0.104575,0.092078,0.090594
207,0.101491,0.104611,0.092071,0.090687
208,0.101494,0.104629,0.092175,0.090671
209,0.101475,0.104638,0.092126,0.090648
210,0.101503,0.104570,0.092130,0.090702
211,0.101511,0.104540,0.092214,0.090761
212,0.101570,0.104548,0.092273,0.090726
213,0.101536,0.104559,0.092317,0.090857
214,0.101539,0.104568,0.092379,0.090988
215,0.101577,0.104653,0.092405,0.091083
216,0.101615,0.104646,0.092349,0.091086
217,0.101625,0.104668,0.092356,0.091123
218,0.101640,0.104658,0.092343,0.091242
219,0.101649,0.104677,0.092348,0.091237
220,0.101643,0.104669,0.092413,0.091213
221,0.101660,0.104723,0.092407,0.091293
222,0.101709,0.104675,0.092437,0.091345
223,0.101722,0.104811,0.092432,0.091438
224,0.101736,0.104898,0.092379,0.091461
225,0.101750,0.104945,0.092393,0.091473
